"Microsoft Corporation"
"Date","High","Low","Close","Volume"
"20 Jun 86", 31.500, 31.250, 31.375, 13200
"23 Jun 86", 31.750, 30.750, 31.750, 160400
"24 Jun 86", 32.000, 31.250, 31.500, 50600
"25 Jun 86", 31.750, 31.000, 31.000, 52900
"26 Jun 86", 31.250, 30.000, 30.000, 66500
"27 Jun 86", 30.250, 29.500, 29.750, 36100
"30 Jun 86", 31.500, 29.500, 30.750, 216400
"01 Jul 86", 30.750, 30.500, 30.750, 165200
"02 Jul 86", 30.750, 30.500, 30.750, 182700
"03 Jul 86", 31.500, 31.000, 31.250, 49100
"07 Jul 86", 31.250, 30.000, 30.000, 48800
"08 Jul 86", 30.000, 29.000, 29.250, 49500
"09 Jul 86", 29.250, 27.750, 28.000, 160200
"10 Jul 86", 28.250, 26.000, 27.500, 162800
"11 Jul 86", 28.500, 27.250, 28.000, 60400
"14 Jul 86", 28.250, 27.250, 27.625, 99300
"15 Jul 86", 28.500, 27.250, 28.000, 45800
"16 Jul 86", 29.000, 28.250, 29.000, 32500
"17 Jul 86", 29.500, 28.750, 29.500, 24100
"18 Jul 86", 30.000, 28.750, 29.750, 42800
"21 Jul 86", 30.250, 29.750, 29.750, 12200
"22 Jul 86", 30.750, 29.750, 30.750, 36500
"23 Jul 86", 31.250, 30.000, 30.000, 72200
"24 Jul 86", 31.500, 30.500, 31.000, 49000
"25 Jul 86", 31.500, 31.000, 31.500, 71000
"28 Jul 86", 31.750, 30.500, 30.500, 41000
"29 Jul 86", 30.750, 29.250, 29.750, 48800
"30 Jul 86", 29.750, 27.750, 28.750, 91700
"31 Jul 86", 29.000, 28.500, 28.500, 54300
"01 Aug 86", 28.750, 28.000, 28.250, 44800
"04 Aug 86", 28.250, 27.500, 28.250, 43200
"05 Aug 86", 28.500, 28.000, 28.000, 9800
"06 Aug 86", 28.250, 27.250, 27.250, 60600
"07 Aug 86", 28.000, 27.250, 27.500, 12700
"08 Aug 86", 28.250, 27.500, 27.750, 14400
"11 Aug 86", 29.000, 28.250, 28.750, 27600
"12 Aug 86", 29.500, 28.750, 29.500, 34700
"13 Aug 86", 29.750, 29.250, 29.750, 23900
"14 Aug 86", 30.750, 29.750, 30.500, 69900
"15 Aug 86", 30.750, 30.250, 30.625, 21200
"18 Aug 86", 30.750, 30.250, 30.250, 44400
"19 Aug 86", 30.375, 29.750, 30.250, 70800
"20 Aug 86", 30.250, 30.000, 30.000, 72100
"21 Aug 86", 30.500, 30.000, 30.000, 172000
"22 Aug 86", 30.250, 29.000, 29.500, 20000
"25 Aug 86", 29.500, 29.000, 29.500, 8400
"26 Aug 86", 29.500, 29.250, 29.250, 37700
"27 Aug 86", 29.500, 29.000, 29.250, 33100
"28 Aug 86", 29.500, 29.250, 29.250, 11900
"29 Aug 86", 29.500, 28.000, 28.500, 88300
"02 Sep 86", 28.500, 27.375, 27.750, 18100
"03 Sep 86", 27.500, 26.250, 27.000, 63600
"04 Sep 86", 29.250, 27.500, 29.250, 136900
"05 Sep 86", 30.500, 29.000, 30.250, 91500
"08 Sep 86", 30.750, 30.250, 30.250, 33400
"09 Sep 86", 31.500, 30.250, 30.750, 130300
"10 Sep 86", 31.000, 30.250, 30.250, 37800
"11 Sep 86", 30.500, 29.000, 29.000, 123300
"12 Sep 86", 29.250, 28.250, 28.250, 84900
"15 Sep 86", 28.750, 27.750, 28.750, 78100
"16 Sep 86", 29.000, 28.250, 28.750, 18000
"17 Sep 86", 30.000, 28.500, 29.500, 26800
"18 Sep 86", 30.250, 29.500, 29.750, 18600
"19 Sep 86", 30.000, 29.500, 29.750, 8700
"22 Sep 86", 29.750, 29.500, 29.500, 15600
"23 Sep 86", 30.250, 29.500, 30.000, 20700
"24 Sep 86", 30.000, 29.500, 29.625, 16600
"25 Sep 86", 29.750, 29.000, 29.000, 17900
"26 Sep 86", 29.250, 28.750, 29.000, 8100
"29 Sep 86", 29.000, 28.250, 28.250, 21500
"30 Sep 86", 28.750, 28.250, 28.250, 18000
"01 Oct 86", 28.750, 27.500, 28.000, 112600
"02 Oct 86", 28.500, 27.750, 28.000, 78900
"03 Oct 86", 28.500, 28.000, 28.250, 51100
"06 Oct 86", 31.000, 29.000, 30.500, 296300
"07 Oct 86", 31.750, 30.500, 31.125, 207600
"08 Oct 86", 32.375, 30.750, 32.000, 415300
"09 Oct 86", 33.750, 32.000, 33.000, 321400
"10 Oct 86", 35.250, 32.500, 34.500, 266500
"13 Oct 86", 34.500, 33.250, 33.250, 94200
"14 Oct 86", 33.750, 33.250, 33.500, 44700
"15 Oct 86", 35.500, 33.500, 35.000, 220600
"16 Oct 86", 35.250, 34.750, 35.000, 75900
"17 Oct 86", 36.250, 35.000, 36.000, 432100
"20 Oct 86", 36.750, 35.250, 36.250, 151200
"21 Oct 86", 37.750, 36.500, 37.750, 390200
"22 Oct 86", 38.125, 37.500, 37.750, 189500
"23 Oct 86", 38.000, 37.375, 37.750, 244600
"24 Oct 86", 37.750, 36.500, 37.500, 352000
"27 Oct 86", 38.750, 37.750, 38.750, 436300
"28 Oct 86", 40.250, 38.750, 39.625, 495300
"29 Oct 86", 39.750, 38.000, 38.500, 184800
"30 Oct 86", 39.750, 38.250, 39.250, 154100
"31 Oct 86", 39.750, 38.500, 38.750, 221300
"03 Nov 86", 39.750, 39.000, 39.500, 146500
"04 Nov 86", 41.000, 39.500, 41.000, 188900
"05 Nov 86", 43.750, 40.750, 43.500, 156600
"06 Nov 86", 45.500, 43.250, 44.500, 252000
"07 Nov 86", 44.750, 43.500, 44.250, 153900
"10 Nov 86", 44.250, 42.250, 42.500, 99600
"11 Nov 86", 43.250, 42.750, 42.750, 41300
"12 Nov 86", 43.500, 42.250, 42.750, 118600
"13 Nov 86", 43.000, 42.000, 42.125, 104900
"14 Nov 86", 42.500, 41.250, 42.500, 65000
"17 Nov 86", 43.250, 42.000, 42.750, 84400
"18 Nov 86", 43.000, 40.500, 40.500, 207200
"19 Nov 86", 42.250, 40.500, 42.000, 169200
"20 Nov 86", 45.250, 42.000, 45.250, 340900
"21 Nov 86", 47.250, 45.500, 46.750, 316200
"24 Nov 86", 50.750, 45.250, 50.500, 603600
"25 Nov 86", 51.250, 50.250, 51.000, 332600
"26 Nov 86", 51.250, 50.500, 50.500, 134700
"28 Nov 86", 50.750, 49.250, 49.750, 143500
"01 Dec 86", 50.000, 48.500, 48.750, 139900
"02 Dec 86", 50.000, 49.000, 49.000, 99900
"03 Dec 86", 49.500, 48.500, 48.625, 122100
"04 Dec 86", 49.750, 48.250, 49.250, 147600
"05 Dec 86", 49.500, 49.000, 49.000, 373300
"08 Dec 86", 49.500, 47.750, 48.500, 78700
"09 Dec 86", 48.750, 48.000, 48.250, 55900
"10 Dec 86", 48.750, 47.750, 48.625, 95800
"11 Dec 86", 49.250, 48.500, 49.000, 40400
"12 Dec 86", 49.000, 47.250, 47.250, 87800
"15 Dec 86", 47.500, 45.500, 46.000, 176300
"16 Dec 86", 47.250, 46.250, 46.500, 268400
"17 Dec 86", 47.250, 46.500, 47.000, 81100
"18 Dec 86", 47.500, 46.750, 47.375, 44000
"19 Dec 86", 49.000, 47.500, 48.500, 196500
"22 Dec 86", 49.500, 48.500, 49.000, 63600
"23 Dec 86", 49.500, 49.000, 49.500, 82600
"24 Dec 86", 49.500, 49.500, 49.500, 20300
"26 Dec 86", 49.750, 49.250, 49.250, 12900
"29 Dec 86", 49.750, 47.250, 47.750, 93200
"30 Dec 86", 48.000, 46.750, 47.750, 88200
"31 Dec 86", 49.000, 47.750, 48.250, 81100
